IncreaseDecreaseQuery,IncreaseDecreaseName1,IncreaseDecreaseGroup1,IncreaseDecreaseType1,IncreaseDecreaseGroupName1,IncreaseDecreaseTypeName1,IncreaseDecreaseTypeGroup1,IncreaseDecreaseTypeGroupName1,IncreaseDecreaseIncrease1,IncreaseDecreaseDecrease1,IncreaseDecreaseStep1,IncreaseDecreaseLevel1,IncreaseDecreaseName2,IncreaseDecreaseGroup2,IncreaseDecreaseType2,IncreaseDecreaseGroupName2,IncreaseDecreaseTypeName2,IncreaseDecreaseTypeGroup2,IncreaseDecreaseTypeGroupName2,IncreaseDecreaseIncrease2,IncreaseDecreaseDecrease2,IncreaseDecreaseStep2,IncreaseDecreaseLevel2
Turn the thermostat up to 72,,,,,,,thermostat,up,,,72,,,,,,,,,,,
Turn the dimmer up,,,,,,,dimmer,up,,,,,,,,,,,,,,
Raise the blinds by 20%,,,,,,,blinds,raise,,20%,,,,,,,,,,,,
Raise the volume on the speakers,,,,,,,speakers,raise,,,,,,,,,,,,,,
Raise the speaker volume by 10,,,,,,,speaker,raise,,10,,,,,,,,,,,,
Raise the brightness by 30 points,,,,,,,brightness,raise,,30,,,,,,,,,,,,
Raise the temp,,,,,,,temp,raise,,,,,,,,,,,,,,
Turn it up all the way,,,,,,,it,up,,,all the way,,,,,,,,,,,
Raise the temperature a few degrees,,,,,,,temperature,raise,,a few,,,,,,,,,,,,
Turn the volume up on the tv in this room to 46,,this room,,,,,tv,up,,,46,,,,,,,,,,,
Bump up the speakers more,,,,,,,speakers,up,,,,,,,,,,,,,,
Move the shades up a couple of notches,,,,,,,shades,up,,a couple,,,,,,,,,,,,
Increase the light,,,,,,,light,increase,,,,,,,,,,,,,,
Increase the temperature 5 degrees in my room,,my room,,,,,temperature,increase,,5,,,,,,,,,,,,
Increase the speed to 9,,,,,,,speed,increase,,,9,,,,,,,,,,,
Go up three channels on the tv,,,,,,,tv,up,,three,,,,,,,,,,,,
Raise the blinds in their room,,their room,,,,,blinds,raise,,,,,,,,,,,,,,
Raise the bedroom blinds,,,,,,,bedroom blinds,raise,,,,,,,,,,,,,,
Turn up the sound on the television to 19,,,,,,,television,up,,,19,,,,,,,,,,,
Crank the heat up ,,,,,,,heat,up,,,,,,,,,,,,,,
Crank up the air conditioning,,,,,,,air conditioning,up,,,,,,,,,,,,,,
Make the living room lights brighter,,,,,,,living room lights,brighter,,,,,,,,,,,,,,
Raise the curtains in my bedroom,,bedroom,,,,,curtains,raise,,,,,,,,,,,,,,
Max out the lights,,,,,,,lights,,,,max,,,,,,,,,,,
Dim the lights,,,,,,,lights,,dim,,,,,,,,,,,,,
Turn it down by 2,,,,,,,it,,down,2,,,,,,,,,,,,
Turn the thermostat down to 63,,,,,,,thermostat,,down,,63,,,,,,,,,,,
Decrease the lights in the master bedroom,,master bedroom,,,,,lights,,Decrease,,,,,,,,,,,,,
Dim the lights in the kitchen,,kitchen,,,,,lights,,dim,,,,,,,,,,,,,
lower the lights in the living room,,living room,,,,,lights,,lower,,,,,,,,,,,,,
Lower the shades,,,,,,,shades,,lower,,,,,,,,,,,,,
Lower the light level by 16 in here,,here,,,,,light,,lower,16,,,,,,,,,,,,
Reduce the temperature a few degrees,,,,,,,temperature,,reduce,a few,,,,,,,,,,,,
Reduce the fan speed by 1,,,,,,,fan,,reduce,1,,,,,,,,,,,,
Decrease the volume by 3 on the speakers in her room,,her room,,,,,speakers,,decrease,3,,,,,,,,,,,,
Lower the temperature on the fridge,,,,,,,fridge,,lower,,,,,,,,,,,,,
Turn the fan all the way down ,,,,,,,fan,,down,,all the way,,,,,,,,,,,
Turn the lights down in his room,,his room,,,,,lights,,down,,,,,,,,,,,,,
Turn the volume down to 20% on the speakers,,,,,,,speakers,,down,,20%,,,,,,,,,,,
Lower the brightness in the kitchen,,kitchen,,,,,brightness,,lower,,,,,,,,,,,,,
Lower the volume on his tv,,,,,,,his tv,,lower,,,,,,,,,,,,,
Lower the temp on the icebox,,,,,,,icebox,,lower,,,,,,,,,,,,,
Lower the temperature on the water heater,,,,,,,water heater,,lower,,,,,,,,,,,,,
Dim the lights in the living room and in my room,,living room,,,,,lights,,dim,,,,my room,,,,,,,,,
Lower the shades in the living room and the kitchen by 7,,living room,,,,,shades,,lower,7,,,kitchen,,,,,,,,,
Turn the sprinklers on low in the front yard and the backyard,,front yard,,,,,sprinklers,,,,low,,backyard,,,,,,,,,
Cool the temperature of the water heater by 10 degrees,,,,,,,water heater,,cool,10,,,,,,,,,,,,
Lower the drapes in the living room and the master bedroom,,living room,,,,,drapes,,lower,,,,master bedroom,,,,,,,,,
Increase the temperature on the water heater,,,,,,,water heater,increase,,,,,,,,,,,,,,
Adjust the clock on the mircowave to one hour ahead,,,,,,microwave,clock,ahead,,1 hour,,,,,,,,,,,,
Adjust the clock on the microwave over to one hour behind,,,,,,microwave,clock,,behind,1 hour,,,,,,,,,,,,